model,method,wnid,name,image_pos,image_idx,corruption,family,severity,prob_clean,prob_corr,prob_drop,correct_clean,correct_corr,xai_iou,xai_corr,centroid_shift,entropy_clean,entropy_corr,entropy_delta,family_model
vit_b_16,cam,n03899768,patio,0,1538,fog,weather,1,0.005413006525486708,0.010469513945281506,-0.005056507419794798,0,0,0.5365536247416367,0.7795470430801464,12.229969312546222,2.957437367047879,3.824467546297289,0.8670301792494102,ViT
vit_b_16,ig,n03899768,patio,0,1538,fog,weather,1,0.005413006525486708,0.010469513945281506,-0.005056507419794798,0,0,0.31922444955635887,0.47692137308535354,20.093182359448093,1.657749711324688,1.647950905473622,-0.00979880585106585,ViT
vit_b_16,rollout,n03899768,patio,0,1538,fog,weather,2,0.005413006525486708,0.005560154560953379,-0.000147148035466671,0,0,0.3054110301768991,0.3282957243778668,25.384385572522977,2.6878017347416643,3.7561776985540973,1.068375963812433,ViT
vit_b_16,cam,n03899768,patio,0,1538,fog,weather,2,0.005413006525486708,0.005560154560953379,-0.000147148035466671,0,0,0.44934652321467256,0.6627896813530401,7.821745270757773,2.957437367047879,4.351546287569951,1.394108920522072,ViT
vit_b_16,ig,n03899768,patio,0,1538,fog,weather,2,0.005413006525486708,0.005560154560953379,-0.000147148035466671,0,0,0.22367859537889412,0.27148758859459193,5.2707922169930175,1.657749711324688,2.204638419640938,0.5468887083162501,ViT
vit_b_16,rollout,n03899768,patio,0,1538,fog,weather,3,0.005413006525486708,0.009817837737500668,-0.00440483121201396,0,0,0.30855988004433144,0.26810645446221715,9.193211389788653,2.6878017347416643,3.2019782981333624,0.5141765633916981,ViT
vit_b_16,cam,n03899768,patio,0,1538,fog,weather,3,0.005413006525486708,0.009817837737500668,-0.00440483121201396,0,0,0.4422648559315945,0.6072525719522566,18.891290672805596,2.957437367047879,4.441346056737415,1.4839086896895362,ViT
vit_b_16,ig,n03899768,patio,0,1538,fog,weather,3,0.005413006525486708,0.009817837737500668,-0.00440483121201396,0,0,0.23012808727094441,0.2756146501409618,5.281135902718793,1.657749711324688,2.254924341718587,0.5971746303938992,ViT
vit_b_16,rollout,n03899768,patio,0,1538,fog,weather,4,0.005413006525486708,0.005836911033838987,-0.00042390450835227966,0,0,0.21545355455976747,0.21653662230055576,6.884092612301485,2.6878017347416643,3.24196785814411,0.5541661234024455,ViT
vit_b_16,cam,n03899768,patio,0,1538,fog,weather,4,0.005413006525486708,0.005836911033838987,-0.00042390450835227966,0,0,0.47772951483471987,0.6513138058910386,8.260930923813289,2.957437367047879,4.280588821772107,1.3231514547242282,ViT
